MAISA 11/00 400.00,MVIRT 11/3B 400.00
SFIONNAY /00220.00,SRIDDES/3C  220.00
D2-ETZ_MH/01380.00,D2-ETZ_MH/02380.00
D2-ETZ_MH/01380.00,D2-ETZ/L    380.00
D2-MH__SD/01220.00,D2-MH__SD/02220.00
D2-MH__SD/01220.00,D2-SD/G     220.00
D2-GR__GK/01380.00,D2-GKRO/1   380.00
D2-GR__GK/01380.00,D2-GR/L     380.00
D8-EH/01    380.00,D8-EHH/1    380.00
D8-EH/01    380.00,D8-EHH/2    380.00
D8-EH/01    380.00,D8-EHH/3    380.00
D8-EH/01    380.00,D8-EHH/4    380.00
REUS II/01  220.00,LASELVA/OL  220.00
REUS II/01  220.00,TARRAG-G/RR 220.00
GKARAC31/01 400.00,GK-TRI31/H2 400.00
GKARAC31/01 400.00,GACELW11/VN 400.00
GKARAC31/01 400.00,XAR_GA11    400.00
GKARAC31/01 400.00,XAR_GA1G    400.00
SFIONNAY /01220.00,SCHAMOSON/1C220.00
D2-ETZ_MH/02380.00,D2-ETZ_MH/03380.00
D2-MH__SD/02220.00,D2-MH__SD/03220.00
D2-GR__GK/02380.00,D2-GKRO/1   380.00
D2-GR__GK/02380.00,D2-AS/L     380.00
PENITENT/02 220.00,DESVERN/1E  220.00
PENITENT/02 220.00,LESSEPS/2I  220.00
GTRIKAT1/02 400.00,GPTOLEM/0I  400.00
GTRIKAT1/02 400.00,GK-TRI31/H2 400.00
MALBF 21/02 220.00,MDUME 21/0D 220.00
MALBF 21/02 220.00,MCSPG 21/2V 220.00
SGABI/02    220.00,SY/GABI/03  220.00
D2-MH__SD/03220.00,D2-MH__SD/04220.00
ELGE_NP/03  220.00,ORCOYEN/ML  220.00
ELGE_NP/03  220.00,VITORIA/O2  220.00
MBICSD11/03 400.00,MMART 11/17 400.00
MBICSD11/03 400.00,MOROE 11/1H 400.00
MBICSD11/03 400.00,MPOMM 11/20 400.00
SY/GABI/03  220.00,SMOEREL/2V  220.00
SY/GABI/03  220.00,SSERRA/3U   220.00
D2-MH__SD/04220.00,D2-MH__SD/05220.00
MOLLINA/04  400.00,CARTAMA/IB  400.00
MOLLINA/04  400.00,CABRA/IN    400.00
MBEKO 11/04 400.00,MSAFA 11/21 400.00
MBEKO 11/04 400.00,MSZOL Y1/2K 400.00
MBEKO 11/04 400.00,XBE_NA11    400.00
SOMPLAG. /04220.00,PORDENONE/1M220.00
SOMPLAG. /04220.00,BUIA/UY     220.00
BITOLA 2/04 400.00,SK 4/1L     400.00
BITOLA 2/04 400.00,OHRID/2I    400.00
BITOLA 2/04 400.00,MARIOVO/2U  400.00
BITOLA 2/04 400.00,XFL_BI11    400.00
SGONDO/04   220.00,SSERRA/3U   220.00
D2-MH__SD/05220.00,D2-MH__SD/06220.00
CHUCENA/05  220.00,ALJARAFE/YK 220.00
CHUCENA/05  220.00,ROCIO/YV    220.00
GALB18/05   400.00,GAL19/1F    400.00
MDEBR 21/05 220.00,MSAJO 11/27 220.00
SZERMEIGG/05220.00,SSTALDEN/40 220.00
PALMCOND/06 220.00,ONUBA/YH    220.00
PALMCOND/06 220.00,SANTIPON/YY 220.00
SVERBANO/06 220.00,SAVEGNO/0P  220.00
RONDA/07    400.00,JORDANA/II  400.00
RONDA/07    400.00,TAJOENCA/IR 400.00
SGOESCHEN/07220.00,SPLATTISC/08220.00
MARCHENI/08 400.00,JORDANA/II  400.00
MARCHENI/08 400.00,PINARREY/IO 400.00
SPLATTISC/08220.00,SINGENBOH/09220.00
SPLATTISC/08220.00,SMETTLEN/2U 220.00
SJPUERTO/09 220.00,ONUBA/YH    220.00
SINGENBOH/09220.00,SMETTLEN/2U 220.00
GUENES/0A   220.00,LUMINABA/0C 220.00
GUENES/0A   220.00,BASAURI/LR  220.00
GUENES/0A   220.00,GATICA/M1   220.00
GUENES/0A   220.00,ZAMUDIO/O4  220.00
MDETK 21/0A 220.00,MMATRE21/1C 220.00
MDETK 21/0A 220.00,MMATRE21/1D 220.00
MDETK 21/0A 220.00,MSAJO 11/27 220.00
MDETK 21/0A 220.00,MSZOL Y1/2L 220.00
MDETK 21/0A 220.00,MZUGL 21/2U 220.00
SUBSTATIO/0A400.00,SUBSTATIO/1A400.00
SUBSTATIO/0A400.00,SUBSTATIO/EB400.00
SUBSTATIO/0A400.00,SUBSTATIO/NA400.00
SUBSTATIO/0A400.00,XSA_SU11    400.00
SUBSTATIO/0A400.00,SUBSTATIO/ZA400.00
SOLIVONE/0A 220.00,SBIASCA/0Z  220.00
BERNAT/0B   220.00,BROSQUIL/31 220.00
BERNAT/0B   220.00,BENICULL/32 220.00
BERNAT/0B   220.00,VALLDIG/35  220.00
BERNAT/0B   220.00,CATADAU/TD  220.00
GTRIKAT1/0B 400.00,GPTOLEM/0I  400.00
GTRIKAT1/0B 400.00,GAHS_F11/FD 400.00
GTRIKAT1/0B 400.00,GK-TRI31/H2 400.00
MDUJV 21/0B 220.00,MDUME 21/0D 220.00
SUBSTATIO/0B220.00,SUBSTATIO/9B220.00
SUBSTATIO/0B220.00,SUBSTATIO/KC220.00
SLOEBBIA/0B 220.00,SCASTASEG/0C220.00
SLOEBBIA/0B 220.00,STINZEN/0I  220.00
RSACAL1/0C  400.00,RTIMIS1/0O  400.00
RSACAL1/0C  400.00,RCARAD1/1L  400.00
LUMINABA/0C 220.00,ABADIANO/LH 220.00
LUMINABA/0C 220.00,SIDENORB/N5 220.00
MDUJV 21/0C 220.00,MDUME 21/0D 220.00
SUBSTATIO/0C220.00,SUBSTATIO/FC220.00
RTANTA1/0D  400.00,RURECH1/0E  400.00
RTANTA1/0D  400.00,RSLATI1A/0I 400.00
RTANTA1/0D  400.00,XKO_TI11    400.00
